20240126 18:27:24[INFO] main start ...
20240126 18:27:24[INFO] [{'id': 0, 'mem_use': 7785.0, 'mem_total': 24564.0, 'pwr_use': 79.0, 'pwr_total': 450.0, 'gpu_util': 100.0}, {'id': 1, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 14.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 2, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 20.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 3, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 21.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 4, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 24.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 5, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 21.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 6, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 24.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 7, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 15.0, 'pwr_total': 450.0, 'gpu_util': 0.0}]
20240126 18:27:24[INFO] start process-0
20240126 18:27:24[INFO] start process-1
20240126 18:27:24[INFO] start process-2
20240126 18:27:24[INFO] start process-3
20240126 18:27:24[INFO] start process-4
20240126 18:27:24[INFO] start process-5
20240126 18:27:24[INFO] start process-6
20240126 18:27:24[INFO] main exit.
20240126 18:27:24[INFO] start process-7
20240126 18:27:25[INFO] gpu-0 is busy, wait 300s
20240126 18:32:25[INFO] gpu-0 is busy, wait 300s
20240126 18:37:26[INFO] gpu-0 is busy, wait 300s
20240126 18:42:28[INFO] gpu-0 is busy, wait 300s
20240126 18:47:30[INFO] gpu-0 is busy, wait 300s
20240126 18:52:32[INFO] gpu-0 is busy, wait 300s
20240126 18:57:33[INFO] gpu-0 is busy, wait 300s
20240126 19:02:34[INFO] gpu-0 is busy, wait 300s
20240126 19:07:35[INFO] gpu-0 is busy, wait 300s
20240126 19:12:35[INFO] gpu-0 is busy, wait 300s
20240126 19:17:36[INFO] gpu-0 is busy, wait 300s
20240126 19:22:37[INFO] gpu-0 is busy, wait 300s
20240126 19:27:37[INFO] gpu-0 is busy, wait 300s
20240126 19:32:39[INFO] gpu-0 is busy, wait 300s
20240126 19:37:41[INFO] gpu-0 is busy, wait 300s
20240126 19:42:43[INFO] gpu-0 is busy, wait 300s
20240126 19:47:45[INFO] gpu-0 is busy, wait 300s
20240126 19:52:47[INFO] gpu-0 is busy, wait 300s
20240126 19:57:49[INFO] gpu-0 is busy, wait 300s
20240126 20:02:51[INFO] gpu-0 is busy, wait 300s
20240126 20:07:54[INFO] gpu-0 is busy, wait 300s
20240126 20:12:56[INFO] gpu-0 is busy, wait 300s
20240126 20:17:58[INFO] gpu-0 is busy, wait 300s
20240126 20:22:59[INFO] gpu-0 is busy, wait 300s
20240126 20:28:02[INFO] gpu-0 is busy, wait 300s
20240126 20:33:04[INFO] gpu-0 is busy, wait 300s
20240126 20:38:06[INFO] gpu-0 is busy, wait 300s
20240126 20:43:07[INFO] gpu-0 is busy, wait 300s
